agency_cd,site_no,datetime,tz_cd,89062_00060,89062_00060_cd,89063_00065,89063_00065_cd
USGS,02085070,2019-11-11 07:15,EST,8.02,P,1.07,P
USGS,02085070,2019-11-11 07:30,EST,8.25,P,1.08,P
USGS,02085070,2019-11-11 07:45,EST,8.25,P,1.08,P
USGS,02085070,2019-11-11 08:00,EST,8.25,P,1.08,P
USGS,02085070,2019-11-11 08:15,EST,8.25,P,1.08,P
USGS,02085070,2019-11-11 08:30,EST,8.02,P,1.07,P
USGS,02085070,2019-11-11 08:45,EST,8.02,P,1.07,P
USGS,02085070,2019-11-11 09:00,EST,8.02,P,1.07,P
USGS,02085070,2019-11-11 09:15,EST,8.02,P,1.07,P
USGS,02085070,2019-11-11 09:30,EST,8.02,P,1.07,P
USGS,02085070,2019-11-11 09:45,EST,8.02,P,1.07,P
USGS,02085070,2019-11-11 10:00,EST,8.02,P,1.07,P
USGS,02085070,2019-11-11 10:15,EST,8.02,P,1.07,P
USGS,02085070,2019-11-11 10:30,EST,8.02,P,1.07,P
USGS,02085070,2019-11-11 10:45,EST,7.80,P,1.06,P
USGS,02085070,2019-11-11 11:00,EST,7.80,P,1.06,P
USGS,02085070,2019-11-11 11:15,EST,8.02,P,1.07,P
USGS,02085070,2019-11-11 11:30,EST,7.80,P,1.06,P
USGS,02085070,2019-11-11 11:45,EST,7.80,P,1.06,P
USGS,02085070,2019-11-11 12:00,EST,7.80,P,1.06,P
USGS,02085070,2019-11-11 12:15,EST,7.80,P,1.06,P
USGS,02085070,2019-11-11 12:30,EST,7.80,P,1.06,P
USGS,02085070,2019-11-11 12:45,EST,7.80,P,1.06,P
USGS,02085070,2019-11-11 13:00,EST,7.80,P,1.06,P
USGS,02085070,2019-11-11 13:15,EST,7.80,P,1.06,P
USGS,02085070,2019-11-11 13:30,EST,7.80,P,1.06,P
USGS,02085070,2019-11-11 13:45,EST,7.80,P,1.06,P
USGS,02085070,2019-11-11 14:00,EST,7.80,P,1.06,P
USGS,02085070,2019-11-11 14:15,EST,8.02,P,1.07,P
USGS,02085070,2019-11-11 14:30,EST,8.25,P,1.08,P
USGS,02085070,2019-11-11 14:45,EST,8.25,P,1.08,P
USGS,02085070,2019-11-11 15:00,EST,8.25,P,1.08,P
USGS,02085070,2019-11-11 15:15,EST,8.25,P,1.08,P
USGS,02085070,2019-11-11 15:30,EST,8.25,P,1.08,P
USGS,02085070,2019-11-11 15:45,EST,8.02,P,1.07,P
USGS,02085070,2019-11-11 16:00,EST,8.25,P,1.08,P
USGS,02085070,2019-11-11 16:15,EST,8.02,P,1.07,P
USGS,02085070,2019-11-11 16:30,EST,8.25,P,1.08,P
USGS,02085070,2019-11-11 16:45,EST,8.25,P,1.08,P
USGS,02085070,2019-11-11 17:00,EST,8.25,P,1.08,P
USGS,02085070,2019-11-11 17:15,EST,8.25,P,1.08,P
USGS,02085070,2019-11-11 17:30,EST,8.25,P,1.08,P
USGS,02085070,2019-11-11 17:45,EST,8.48,P,1.09,P
USGS,02085070,2019-11-11 18:00,EST,8.48,P,1.09,P
USGS,02085070,2019-11-11 18:15,EST,8.48,P,1.09,P
USGS,02085070,2019-11-11 18:30,EST,8.48,P,1.09,P
USGS,02085070,2019-11-11 18:45,EST,8.48,P,1.09,P
USGS,02085070,2019-11-11 19:00,EST,8.48,P,1.09,P
USGS,02085070,2019-11-11 19:15,EST,8.48,P,1.09,P
USGS,02085070,2019-11-11 19:30,EST,8.48,P,1.09,P
USGS,02085070,2019-11-11 19:45,EST,8.48,P,1.09,P
USGS,02085070,2019-11-11 20:00,EST,8.71,P,1.10,P
USGS,02085070,2019-11-11 20:15,EST,8.71,P,1.10,P
USGS,02085070,2019-11-11 20:30,EST,8.71,P,1.10,P
USGS,02085070,2019-11-11 20:45,EST,8.71,P,1.10,P
USGS,02085070,2019-11-11 21:00,EST,8.71,P,1.10,P
USGS,02085070,2019-11-11 21:15,EST,8.71,P,1.10,P
USGS,02085070,2019-11-11 21:30,EST,8.71,P,1.10,P
USGS,02085070,2019-11-11 21:45,EST,8.71,P,1.10,P
USGS,02085070,2019-11-11 22:00,EST,8.71,P,1.10,P
USGS,02085070,2019-11-11 22:15,EST,8.71,P,1.10,P
USGS,02085070,2019-11-11 22:30,EST,8.71,P,1.10,P
USGS,02085070,2019-11-11 22:45,EST,8.71,P,1.10,P
USGS,02085070,2019-11-11 23:00,EST,8.71,P,1.10,P
USGS,02085070,2019-11-11 23:15,EST,8.71,P,1.10,P
USGS,02085070,2019-11-11 23:30,EST,8.71,P,1.10,P
USGS,02085070,2019-11-11 23:45,EST,8.71,P,1.10,P
USGS,02085070,2019-11-12 00:00,EST,8.71,P,1.10,P
USGS,02085070,2019-11-12 00:15,EST,8.71,P,1.10,P
USGS,02085070,2019-11-12 00:30,EST,8.71,P,1.10,P
USGS,02085070,2019-11-12 00:45,EST,8.71,P,1.10,P
USGS,02085070,2019-11-12 01:00,EST,8.71,P,1.10,P
USGS,02085070,2019-11-12 01:15,EST,8.71,P,1.10,P
USGS,02085070,2019-11-12 01:30,EST,8.71,P,1.10,P
USGS,02085070,2019-11-12 01:45,EST,8.71,P,1.10,P
USGS,02085070,2019-11-12 02:00,EST,8.71,P,1.10,P
USGS,02085070,2019-11-12 02:15,EST,8.71,P,1.10,P
USGS,02085070,2019-11-12 02:30,EST,8.71,P,1.10,P
USGS,02085070,2019-11-12 02:45,EST,8.71,P,1.10,P
USGS,02085070,2019-11-12 03:00,EST,8.71,P,1.10,P
USGS,02085070,2019-11-12 03:15,EST,8.48,P,1.09,P
USGS,02085070,2019-11-12 03:30,EST,8.48,P,1.09,P
USGS,02085070,2019-11-12 03:45,EST,8.48,P,1.09,P
USGS,02085070,2019-11-12 04:00,EST,8.71,P,1.10,P
USGS,02085070,2019-11-12 04:15,EST,8.48,P,1.09,P
USGS,02085070,2019-11-12 04:30,EST,8.48,P,1.09,P
USGS,02085070,2019-11-12 04:45,EST,8.48,P,1.09,P
USGS,02085070,2019-11-12 05:00,EST,8.48,P,1.09,P
USGS,02085070,2019-11-12 05:15,EST,8.48,P,1.09,P
USGS,02085070,2019-11-12 05:30,EST,8.48,P,1.09,P
USGS,02085070,2019-11-12 05:45,EST,8.48,P,1.09,P
USGS,02085070,2019-11-12 06:00,EST,8.48,P,1.09,P
USGS,02085070,2019-11-12 06:15,EST,8.48,P,1.09,P
USGS,02085070,2019-11-12 06:30,EST,8.48,P,1.09,P
USGS,02085070,2019-11-12 06:45,EST,8.48,P,1.09,P
USGS,02085070,2019-11-12 07:00,EST,8.48,P,1.09,P
USGS,02085070,2019-11-12 07:15,EST,8.25,P,1.08,P
USGS,02085070,2019-11-12 07:30,EST,8.48,P,1.09,P
USGS,02085070,2019-11-12 07:45,EST,8.25,P,1.08,P
USGS,02085070,2019-11-12 08:00,EST,8.48,P,1.09,P
USGS,02085070,2019-11-12 08:15,EST,8.95,P,1.11,P
USGS,02085070,2019-11-12 08:30,EST,9.20,P,1.12,P
USGS,02085070,2019-11-12 08:45,EST,9.45,P,1.13,P
USGS,02085070,2019-11-12 09:00,EST,9.97,P,1.15,P
USGS,02085070,2019-11-12 09:15,EST,10.5,P,1.17,P
USGS,02085070,2019-11-12 09:30,EST,13.0,P,1.25,P
USGS,02085070,2019-11-12 09:45,EST,15.1,P,1.31,P
USGS,02085070,2019-11-12 10:00,EST,15.9,P,1.33,P
USGS,02085070,2019-11-12 10:15,EST,15.9,P,1.33,P
USGS,02085070,2019-11-12 10:30,EST,15.5,P,1.32,P
USGS,02085070,2019-11-12 10:45,EST,15.1,P,1.31,P
USGS,02085070,2019-11-12 11:00,EST,15.1,P,1.31,P
USGS,02085070,2019-11-12 11:15,EST,14.0,P,1.28,P
USGS,02085070,2019-11-12 11:30,EST,13.7,P,1.27,P
USGS,02085070,2019-11-12 11:45,EST,14.4,P,1.29,P
USGS,02085070,2019-11-12 12:00,EST,15.5,P,1.32,P
USGS,02085070,2019-11-12 12:15,EST,19.9,P,1.42,P
USGS,02085070,2019-11-12 12:30,EST,29.0,P,1.58,P
USGS,02085070,2019-11-12 12:45,EST,37.2,P,1.69,P
USGS,02085070,2019-11-12 13:00,EST,44.4,P,1.77,P
USGS,02085070,2019-11-12 13:15,EST,49.4,P,1.82,P
USGS,02085070,2019-11-12 13:30,EST,53.8,P,1.86,P
USGS,02085070,2019-11-12 13:45,EST,56.1,P,1.88,P
USGS,02085070,2019-11-12 14:00,EST,58.5,P,1.90,P
USGS,02085070,2019-11-12 14:15,EST,59.7,P,1.91,P
USGS,02085070,2019-11-12 14:30,EST,59.7,P,1.91,P
USGS,02085070,2019-11-12 14:45,EST,58.5,P,1.90,P
USGS,02085070,2019-11-12 15:00,EST,58.5,P,1.90,P
USGS,02085070,2019-11-12 15:15,EST,57.3,P,1.89,P
USGS,02085070,2019-11-12 15:30,EST,56.1,P,1.88,P
USGS,02085070,2019-11-12 15:45,EST,54.9,P,1.87,P
USGS,02085070,2019-11-12 16:00,EST,52.7,P,1.85,P
USGS,02085070,2019-11-12 16:15,EST,50.5,P,1.83,P
USGS,02085070,2019-11-12 16:30,EST,48.4,P,1.81,P
USGS,02085070,2019-11-12 16:45,EST,46.3,P,1.79,P
USGS,02085070,2019-11-12 17:00,EST,43.4,P,1.76,P
USGS,02085070,2019-11-12 17:15,EST,41.5,P,1.74,P
USGS,02085070,2019-11-12 17:30,EST,39.8,P,1.72,P
USGS,02085070,2019-11-12 17:45,EST,38.9,P,1.71,P
USGS,02085070,2019-11-12 18:00,EST,37.2,P,1.69,P
USGS,02085070,2019-11-12 18:15,EST,35.6,P,1.67,P
USGS,02085070,2019-11-12 18:30,EST,34.8,P,1.66,P
USGS,02085070,2019-11-12 18:45,EST,33.3,P,1.64,P
USGS,02085070,2019-11-12 19:00,EST,31.8,P,1.62,P
USGS,02085070,2019-11-12 19:15,EST,31.8,P,1.62,P
